"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logD"
"aziprotryne","BL",-0.590358834709747,0.812855330780788,0.227194378170244,-0.478566631057923,0.498848020694558,-0.422092826998754,-0.350226576636095,-0.309942892780667,0.275318792355555
"benazolin","BL",-0.545101633521536,0.978943625894708,-0.608250770898237,-0.545203202366714,0.650275714271191,-0.437725539509771,-0.350226576636095,-0.587154362886399,-0.759230954157303
"bencarbazone","BL",-0.454587231145115,0.119567206489754,-1.72213586615393,-0.445248345403527,0.0375842116671578,-0.417701231454955,0.147746665931013,-0.309942892780667,-0.185499896962277
"benfluralin","G",-0.454587231145115,0.34141769479491,-1.2983357320382,-0.311975202785944,-0.487002944855752,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.756309760853303
"benfuresate","G",-0.47721583173922,0.568181500077519,-0.657372489577528,-0.345293488440339,0.749814369698198,-0.440270841425295,-0.848199819203203,-0.494750539517821,0.144853921815316
"bensulide","G",-0.431958630551009,-0.086020661591417,-0.208635564601644,-0.17870206016836,0.194504346478739,-0.435700694851601,-0.350226576636095,-0.402346716149244,0.574235292930681
"benzfendizone","BL",-0.18304402401585,-0.293909618693123,-0.677798102191622,-0.278656917131548,-0.0617125496897311,-0.426533808997631,-0.848199819203203,-0.309942892780667,0.422026277300402
"benzthiazuron","BL",-0.545101633521536,1.00351545441429,0.764275210464755,-0.611839773675506,0.34694091766658,-0.439731389377528,0.147746665931013,-0.494750539517821,0.0217244255223196
"bifenox","BL",-0.431958630551009,0.426632588857306,-0.456374436614301,-0.511884916712319,-0.699389953552158,-0.429348836937039,-0.848199819203203,-0.402346716149244,0.637895862290677
"bromacil","BL",-0.545101633521536,0.791604642501535,-0.130817739857152,-0.478566631057923,0.908950025019644,-0.439412276898566,-0.350226576636095,-0.679558186254976,-0.166375528389109
"bromobonil","G",-0.454587231145115,0.426632588857306,0.853746912344896,-0.378611774094735,-0.0160749074640355,-0.434211503283115,-0.848199819203203,-0.402346716149244,0.349720445434727
"bromofenoxim","BL",-0.454587231145115,0.325303219748214,0.0183017632764153,-0.511884916712319,-0.0160749074640355,-0.410878302738117,-0.350226576636095,-0.21753906941209,0.239165876422718
"bromoxynil","G",-0.590358834709747,1.16659695359693,0.682823381022051,-0.611839773675506,0.664700642699971,-0.443530347460399,-0.350226576636095,-0.679558186254976,-0.432020867199957
"butachlor","G",-0.364072828768693,0.105446529091287,-0.72754637340509,-0.278656917131548,0.080050915522585,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.647851013054791
"butafenacil","BL",-0.296187026986377,-0.109118158286108,-0.634315356319902,-0.378611774094735,0.0668514035386707,-0.42355542586066,-0.848199819203203,-0.309942892780667,0.180482882444779
"butamifos","G",-0.454587231145115,0.175241821528197,-1.32427500695303,-0.245338631477152,0.0212137613129752,-0.431263511810807,-0.350226576636095,-0.402346716149244,0.561660365649694
"buthiuron","BL",-0.545101633521536,0.426632588857306,1.06263952723872,-0.411930059749131,0.985943408951131,-0.425204173668626,-0.350226576636095,-0.21753906941209,-0.284789426951736
"butralin","G",-0.431958630551009,0.296024569496593,-1.32427500695303,-0.278656917131548,-0.487002944855752,-0.42086956249607,-0.350226576636095,-0.402346716149244,0.774910174123096
"buturon","BL",-0.47721583173922,0.625996365906775,1.32366131297588,-0.545203202366714,0.479849256917479,-0.447967530501193,-0.350226576636095,-0.587154362886399,0.157166871444616
"butylate","G",-0.499844432333325,0.493919146668017,-0.130817739857152,-0.278656917131548,0.761558206857076,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.500095617503196
"cafenstrole","G",-0.386701429362798,0.066185326399505,-0.503741808197905,-0.378611774094735,0.900332547712087,-0.427901433907465,-0.848199819203203,-0.309942892780667,0.0421586823539232
"carfentrazone","BL",-0.454587231145115,0.34141769479491,-1.02591069017906,-0.478566631057923,0.291541179753693,-0.430955796206094,-0.350226576636095,-0.494750539517821,-0.472627403211477
"chlomethoxyfen","BL",-0.454587231145115,0.52984897314713,0.227194378170244,-0.511884916712319,-0.487002944855752,-0.435833658384501,-0.848199819203203,-0.494750539517821,0.680336241864007
"chloramben","BL",-0.590358834709747,1.16659695359693,-1.02591069017906,-0.611839773675506,0.748845072175748,-0.436198358360457,0.147746665931013,-0.587154362886399,-0.63479156960587
"chloranocryl","BL",-0.522473032927431,0.812855330780788,0.764275210464755,-0.611839773675506,0.317139726836556,-0.449198392920044,-0.350226576636095,-0.679558186254976,0.322474769659256
"chlorazine","BL",-0.499844432333325,0.442089739134162,-0.657372489577528,-0.378611774094735,0.171326199973976,-0.443101065197035,-0.848199819203203,-0.402346716149244,0.431719450412829
"chlorbromuron","BL",-0.545101633521536,0.726711973159373,1.06263952723872,-0.511884916712319,0.660254349262967,-0.444461092190703,-0.350226576636095,-0.494750539517821,0.203274938141568
"chloreturon","BL",-0.499844432333325,0.625996365906775,1.32366131297588,-0.478566631057923,0.545800917835885,-0.444461092190703,-0.350226576636095,-0.494750539517821,0.146163810073752
"chlorfenac","BL",-0.567730234115642,0.978943625894708,-0.543966480891916,-0.57852148802111,0.428708463611409,-0.446083247292089,-0.350226576636095,-0.679558186254976,-0.473937291469913
"chloridazon","BL",-0.522473032927431,0.929040239688196,0.227194378170244,-0.645158059329902,0.675411018862231,-0.437113907258429,-0.350226576636095,-0.587154362886399,-0.193621204164581
"chlornidine","G",-0.499844432333325,0.426632588857306,-1.65246322435371,-0.378611774094735,-0.203476014902048,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.413119037143036
"chlornitrofen","BL",-0.47721583173922,0.58857384651328,0.622924958754954,-0.57852148802111,-0.907602646706563,-0.439340096694992,-0.848199819203203,-0.587154362886399,0.841190519999965
"chloroxuron","BL",-0.409330029956904,0.407953017117455,1.48029944651955,-0.545203202366714,0.0212137613129752,-0.444461092190703,-0.350226576636095,-0.494750539517821,0.431981428064516
"chlorphthalim","BL",-0.431958630551009,0.665662048657419,-0.329685514204186,-0.511884916712319,-0.262313168640729,-0.446052855627426,-0.848199819203203,-0.587154362886399,0.279510434782551
"chlorprocarb","BL",-0.454587231145115,0.376497081176766,0.853746912344896,-0.411930059749131,0.267452022489669,-0.431130548277906,0.147746665931013,-0.309942892780667,0.258290244995885
"chlorsulfuron","NS",-0.47721583173922,0.279604606797757,-0.208635564601644,-0.511884916712319,0.56337798801325,-0.41346159423447,0.147746665931013,-0.0327314226749357,-0.474985202076662
"cinidon-ethyl","BL",-0.318815627580482,0.0948018103166331,-0.543966480891916,-0.411930059749131,-0.487002944855752,-0.436061595869474,-0.848199819203203,-0.402346716149244,0.659901985032404
"cinosulfuron","NS",-0.409330029956904,0.0152793119048245,-0.130817739857152,-0.311975202785944,0.841726883359466,-0.402942279302998,0.147746665931013,0.244480047430796,-0.629552016572126
"clodinafop","G",-0.431958630551009,0.493919146668017,1.06263952723872,-0.478566631057923,0.601666763837701,-0.434173513702286,-0.350226576636095,-0.402346716149244,-0.377529515649014
"clofop","G",-0.409330029956904,0.478789843472224,1.48029944651955,-0.478566631057923,0.245903537527998,-0.439070370671108,-0.350226576636095,-0.494750539517821,-0.262521326558321
"clomeprop","BL",-0.386701429362798,0.296024569496593,0.465910893690786,-0.511884916712319,-0.157838372676352,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.700508521043924
"cloprop","BL",-0.545101633521536,1.0302599951034,0.419921937682367,-0.511884916712319,1.03941487220706,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.663871088943152
"cloproxydim","G",-0.341444228174588,-0.070743643207349,1.06263952723872,-0.145383774513965,-0.262313168640729,-0.437881296791169,-0.350226576636095,-0.494750539517821,0.278724501827489
"clopyralid","BL",-0.612987435303852,1.34926209597417,-0.456374436614301,-0.611839773675506,0.929027607698189,-0.441186390323268,-0.350226576636095,-0.587154362886399,-0.681423591606197
"cloransulam","BL",-0.431958630551009,0.175241821528197,-1.25798574883735,-0.478566631057923,0.41175615953341,-0.408671108091969,0.147746665931013,-0.0327314226749357,-0.77180588143829
"cyanatryn","BL",-0.522473032927431,0.52984897314713,0.0798292221323657,-0.411930059749131,0.737354887689155,-0.427384775608195,0.147746665931013,-0.309942892780667,0.0893146596576241
"cyanazine","BL",-0.545101633521536,0.665662048657419,0.540470645257569,-0.478566631057923,0.609496291887942,-0.427384775608195,0.147746665931013,-0.309942892780667,0.0445164812191083
