"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"cyprazine","BL",-0.545101633521536,0.791604642501535,0.227194378170244,-0.445248345403527,0.328829848530704,-0.436422496887346,0.147746665931013,-0.402346716149244,-0.0673684931983583
"dalapon","G",-0.680873237086169,1.71643938459362,-0.130817739857152,-0.545203202366714,1.70203551595697,-0.446083247292089,-0.350226576636095,-0.679558186254976,-0.61036310696204
"delachlor","G",-0.409330029956904,0.279604606797757,-0.696093436189522,-0.345293488440339,0.339887754985791,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.106550887474432
"desmetryn","BL",-0.567730234115642,0.770166104864264,-0.130817739857152,-0.445248345403527,0.633905263917008,-0.436422496887346,0.147746665931013,-0.402346716149244,-0.186365964185005
"dicamba","BL",-0.567730234115642,1.05671281895748,-1.5078548994662,-0.545203202366714,0.851367381659978,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.172452413731182
"dichlorprop","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.747382457284224,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.0190372126745512
"dichlorprop-P","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.747382457284224,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.0190372126745512
"diclofop","G",-0.409330029956904,0.392276047519897,1.06263952723872,-0.478566631057923,0.0212137613129752,-0.439070370671108,-0.350226576636095,-0.494750539517821,0.457318817336609
"diclosulam","BL",-0.454587231145115,0.21955485350387,-0.775289676509198,-0.511884916712319,-0.203476014902048,-0.42284122174108,-0.350226576636095,-0.21753906941209,-0.0860419424916474
"diethamquat","NS",-0.250929825798166,-0.219914148856811,0.764275210464755,-0.311975202785944,1.88357049369844,-0.441874001736267,-0.848199819203203,-0.494750539517821,-2.79698740459974
"diethatyl","G",-0.431958630551009,0.376497081176766,-2.01523714164083,-0.411930059749131,0.726268430750873,-0.438367563425777,-0.350226576636095,-0.494750539517821,-0.30096968239676
"dimefuron","BL",-0.409330029956904,0.21955485350387,-0.208635564601644,-0.411930059749131,0.363577845476289,-0.429721134829161,-0.350226576636095,-0.309942892780667,-0.0845773582333503
"dimepiperate","G",-0.409330029956904,0.392276047519897,0.366414351263852,-0.345293488440339,0.401398429826174,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.315620290346356
"dimethachlor","G",-0.454587231145115,0.478789843472224,-0.657372489577528,-0.411930059749131,0.737868116366577,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.258862884970715
"dimethametryn","BL",-0.499844432333325,0.426632588857306,0.0798292221323657,-0.345293488440339,0.369871309872727,-0.436422496887346,0.147746665931013,-0.402346716149244,0.184173853164183
"dimethenamid","G",-0.47721583173922,0.442089739134162,-1.39444889078059,-0.378611774094735,0.476196991476897,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.246780064839764
"dimethenamid-P","G",-0.47721583173922,0.442089739134162,-1.39444889078059,-0.378611774094735,0.476196991476897,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.246780064839764
"dimexano","BL",-0.658244636492063,1.11110811056697,2.73340451486885,-0.378611774094735,0.00341806844538798,-0.453240484320219,-0.848199819203203,-0.679558186254976,-0.288520716201233
"dimidazon","BL",-0.47721583173922,0.770166104864264,0.0798292221323657,-0.511884916712319,0.950414989120124,-0.43998591956908,-0.848199819203203,-0.494750539517821,-0.723502240915498
"dinitramine","G",-0.499844432333325,0.478789843472224,-2.16510850781541,-0.345293488440339,-0.262313168640729,-0.414323957719282,-0.350226576636095,-0.309942892780667,0.121929022186553
"diphenamid","G",-0.386701429362798,0.493919146668017,-1.02591069017906,-0.545203202366714,0.707533544435626,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.161834177858527
"dipropetryn","BL",-0.499844432333325,0.426632588857306,-0.657372489577528,-0.345293488440339,0.41175615953341,-0.436422496887346,0.147746665931013,-0.402346716149244,0.288525481567858
"diquat","NS",-0.47721583173922,0.95412028730538,-0.130817739857152,-0.57852148802111,2.21063028409597,-0.457305369468892,-0.848199819203203,-0.86436583299213,-3.47728679257878
"dithiopyr","G",-0.409330029956904,0.133606141300665,-2.78025778586808,-0.311975202785944,-0.203476014902048,-0.442386861077455,-0.848199819203203,-0.587154362886399,0.523225108959982
