"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"MCPA-thioethyl","",-0.499844432333325,0.665662048657419,1.89795936580037,-0.445248345403527,0.080050915522585,-0.450262101183248,-0.848199819203203,-0.679558186254976,0.117169123347087
"medinoterb","",-0.499844432333325,0.645910302093989,-2.41823573162197,-0.378611774094735,0.328829848530704,-0.417754416868115,-0.350226576636095,-0.402346716149244,0.212367100136404
"mesotrione","",-0.431958630551009,0.325303219748214,-1.2983357320382,-0.411930059749131,0.554778221838252,-0.410422427768173,-0.848199819203203,-0.21753906941209,-0.893394014877972
"metam","",-0.703501837680274,1.89551660367424,2.73340451486885,-0.545203202366714,1.46161658694496,-0.455683214367506,-0.350226576636095,-0.771962009623553,-1.3843958874721
"metazosulfuron","",-0.409330029956904,-0.070743643207349,-1.2280365377038,-0.278656917131548,0.787666347994768,-0.396373880777713,0.147746665931013,0.336883870799373,-0.530909410949418
"metflurazon","",-0.454587231145115,0.493919146668017,-0.72754637340509,-0.545203202366714,-0.0890225834749657,-0.445767933771211,-0.848199819203203,-0.587154362886399,-0.161468031793953
"methazole","",-0.545101633521536,0.906244282564665,-0.242720022460745,-0.545203202366714,-0.0890225834749657,-0.438546114455672,-0.848199819203203,-0.587154362886399,-0.458412490163707
"methiozolin","",-0.364072828768693,0.296024569496593,-0.208635564601644,-0.378611774094735,-0.487002944855752,-0.44854497212979,-0.848199819203203,-0.587154362886399,0.655403838271303
"methoxyphenone","",-0.386701429362798,0.52984897314713,0.366414351263852,-0.511884916712319,-0.487002944855752,-0.450262101183248,-0.848199819203203,-0.679558186254976,0.356262503514103
"methyl isothiocyanate","",-0.499844432333325,0.605917559644765,0.540470645257569,-0.445248345403527,1.28260316465309,-0.439207133162091,-0.350226576636095,-0.494750539517821,-0.739612667756767
"methyldymron","",-0.364072828768693,0.325303219748214,0.227194378170244,-0.511884916712319,0.245903537527998,-0.447967530501193,-0.350226576636095,-0.587154362886399,0.0666409664358342
"metsulfuron","",-0.454587231145115,0.233028330419369,-0.775289676509198,-0.478566631057923,0.814372776831996,-0.399291480585359,0.645719908498121,0.152076224062219,-0.846161172547887
"monosulfuron","",-0.454587231145115,0.325303219748214,-0.753485648319921,-0.545203202366714,0.817174484074548,-0.407694775864671,0.645719908498121,-0.0327314226749357,-0.808448127896735
"norflurazon","",-0.47721583173922,0.605917559644765,-0.399358156004407,-0.57852148802111,0.0527408817373507,-0.442428649616367,-0.350226576636095,-0.587154362886399,-0.275339457876559
"noruron","",-0.454587231145115,0.645910302093989,-0.242720022460745,-0.245338631477152,0.626088206041197,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.107644560301531
"OCH","",-0.612987435303852,0.645910302093989,-2.27901575852836,-0.545203202366714,-0.487002944855752,-0.453768539493739,-0.848199819203203,-0.771962009623553,0.448531311786826
"o-dichlorobenzene","",-0.612987435303852,1.55833967115917,0.540470645257569,-0.645158059329902,0.437799802367102,-0.4602533609412,-0.848199819203203,-0.86436583299213,0.12339360644485
"orthosulfamuron","",-0.386701429362798,-0.0593486996979392,-0.809875376395639,-0.411930059749131,0.679542906142704,-0.402566182452794,0.645719908498121,0.244480047430796,-0.637457915740538
"oxaziclomefone","",-0.296187026986377,0.066185326399505,-1.27653170384892,-0.445248345403527,-0.120549703899341,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.609269434134942
"pelargonic acid","",-0.545101633521536,0.906244282564665,4.1004168339311,-0.345293488440339,0.778629794181377,-0.446083247292089,-0.350226576636095,-0.679558186254976,0.103987865022413
"pentachlorophenol","",-0.612987435303852,1.0302599951034,-1.02591069017906,-0.611839773675506,0.215321090740854,-0.452568068739551,-0.350226576636095,-0.771962009623553,0.602678804972604
"phenobenzuron","",-0.386701429362798,0.263072718516027,-1.02591069017906,-0.57852148802111,-0.0890225834749657,-0.444821993208576,-0.848199819203203,-0.494750539517821,0.109113909926453
"picolinafen","",-0.318815627580482,0.233028330419369,0.13433929260556,-0.57852148802111,-0.487002944855752,-0.440795097640732,-0.350226576636095,-0.494750539517821,0.540800120059548
"primisulfuron","",-0.431958630551009,0.119567206489754,-1.44357060945988,-0.445248345403527,1.0061003265215,-0.40068189924369,0.645719908498121,0.152076224062219,-0.504546894300068
